tconst	averageRating	numVotes
tt0000001	5.7	1964
tt0000002	5.8	263
tt0000003	6.5	1808
tt0000004	5.6	178
tt0000005	6.2	2606
tt0000006	5.2	181
tt0000007	5.4	816
tt0000008	5.4	2104
tt0000009	5.3	204
tt0000010	6.9	7127
tt0000011	5.3	366
tt0000012	7.4	12216
tt0000013	5.7	1878
tt0000014	7.1	5489
tt0000015	6.1	1080
tt0000016	5.9	1493
tt0000017	4.6	326
tt0000018	5.3	594
tt0000019	5.1	31
tt0000020	4.8	357
tt0000022	5.1	1089
tt0000023	5.7	1431
tt0000024	4.2	112
tt0000025	3.8	46
tt0000026	5.6	1529
tt0000027	5.6	1150
tt0000028	5.1	1076
tt0000029	5.9	3345
tt0000030	5.2	847
tt0000031	5.5	1003
tt0000032	5.0	418
tt0000033	5.5	1030
tt0000034	5.0	208
tt0000035	5.6	82
tt0000036	4.4	604
tt0000037	4.3	68
tt0000038	4.2	202
tt0000039	3.3	32
tt0000040	4.0	66
tt0000041	6.7	1856
tt0000042	3.9	39
tt0000043	3.2	34
tt0000044	3.9	47
tt0000045	3.8	35
tt0000046	3.9	36
tt0000047	3.3	36
tt0000048	4.8	200
tt0000049	5.0	50
tt0000050	3.9	36
tt0000051	3.4	37
tt0000052	4.2	103
tt0000053	3.1	20
tt0000054	4.7	36
tt0000055	3.4	32
tt0000056	2.8	24
tt0000057	4.2	36
tt0000058	4.0	35
tt0000059	3.2	29
tt0000060	7.4	89
tt0000061	3.9	26
tt0000062	6.3	200
tt0000063	3.2	30
tt0000064	2.8	31
tt0000065	3.1	31
tt0000066	3.0	31
tt0000067	5.5	65
tt0000068	3.5	33
tt0000069	4.9	455
tt0000070	6.4	2638
tt0000071	3.1	31
tt0000072	3.3	29
tt0000073	3.2	32
tt0000074	4.3	33
tt0000075	6.3	1929
tt0000076	4.5	535
tt0000077	4.3	37
tt0000078	3.8	87
tt0000079	4.1	37
tt0000080	3.8	33
tt0000081	3.9	34
tt0000082	4.6	51
tt0000083	4.4	34
tt0000084	4.1	32
tt0000085	4.5	35
tt0000086	3.9	35
tt0000087	4.5	39
tt0000088	4.0	34
tt0000089	6.2	994
tt0000090	3.7	33
tt0000091	6.7	3662
tt0000092	4.2	31
tt0000093	4.7	95
tt0000094	4.2	35
tt0000095	4.6	36
tt0000096	4.1	31
tt0000097	4.6	35
tt0000098	4.9	38
tt0000099	4.4	34
tt0000100	4.7	56
tt0000101	4.2	30
tt0000102	4.4	28
tt0000103	5.1	29
tt0000104	5.6	466
tt0000105	4.7	31
tt0000106	4.1	25
tt0000107	4.8	30
tt0000108	4.4	544
tt0000109	4.5	527
tt0000110	4.4	531
tt0000111	4.4	547
tt0000112	4.5	525
tt0000113	4.3	553
tt0000114	4.8	32
tt0000115	4.6	36
tt0000116	4.8	29
tt0000117	5.1	166
tt0000118	4.9	31
tt0000119	5.2	59
tt0000120	5.1	55
tt0000121	4.1	91
tt0000122	4.8	33
tt0000123	5.7	147
tt0000124	4.9	32
tt0000125	4.1	17
tt0000126	5.5	33
tt0000127	4.2	28
tt0000128	5.5	40
tt0000129	6.4	53
tt0000130	4.8	30
tt0000131	5.8	1417
tt0000132	5.1	1067
tt0000133	6.0	37
tt0000134	4.4	21
tt0000135	6.4	84
tt0000137	4.3	31
tt0000138	6.4	1139
tt0000139	5.0	25
tt0000140	4.9	301
tt0000141	5.1	106
tt0000142	4.2	30
tt0000143	4.9	263
tt0000144	5.1	317
tt0000145	3.2	13
tt0000146	4.8	27
tt0000147	5.3	469
tt0000148	2.7	15
tt0000149	4.1	22
tt0000150	5.3	169
tt0000151	4.8	63
tt0000152	6.2	258
tt0000153	5.7	457
tt0000154	3.3	14
tt0000155	4.9	29
tt0000156	3.4	24
tt0000157	3.3	16
tt0000158	2.8	15
tt0000159	5.1	130
tt0000160	5.3	26
tt0000161	3.0	15
tt0000162	5.4	472
tt0000163	4.3	14
tt0000164	5.0	299
tt0000165	4.6	129
tt0000166	3.2	19
tt0000167	4.0	144
tt0000168	2.8	16
